customer_id,region,recency_days,frequency,monetary,R_score,F_score,M_score,segment
0000366f3b9a7992bf8c76cfdf3221e2,BR,116,1,27.443549257399606,4,1,4,New Customers
0000b849f77a49e4a4ce2b2a4ca5be3f,BR,119,1,5.258563102950636,4,1,1,New Customers
0000f46a3911fa3c0805444483337064,BR,542,1,16.675002233777267,1,1,2,Lost
0000f6ccb0745a6a4b88665a16c9f078,BR,326,1,8.436135437686898,2,1,1,Lost
0004aac84e0df4da2b147fca70cf8255,BR,293,1,38.07864984700076,2,1,4,Lost
0004bd2a26a76fe21f786e4fbd80607f,BR,151,1,32.294037033126045,4,1,4,New Customers
00050ab1314c0e55a6ca13cf7181fecf,BR,136,1,6.842514254593361,4,1,1,New Customers
00053a61a98854899e70ed204dd4bafe,BR,187,1,81.06967567101316,3,1,5,Needs Attention
0005e1862207bf6ccc02e4228effd9a0,BR,548,1,29.03330242791282,1,1,4,Lost
0005ef4cd20d2893f0d9fbd94d3c0d97,BR,175,1,25.095665621142867,4,1,3,New Customers
0006fdc98a402fceb4eb0ee528f6a8d4,BR,412,1,5.608618241469969,1,1,1,Lost
00082cbe03e478190aadbea78542e933,BR,288,1,24.418763419586146,2,1,3,Lost
00090324bbad0e9342388303bb71ba0a,BR,163,1,12.311884043171665,4,1,2,New Customers
000949456b182f53c18b68d6babc79c1,BR,133,1,15.868521610779688,4,1,2,New Customers
000a5ad9c4601d2bbdd9ed765d5213b3,BR,388,1,17.653609416599267,2,1,3,Lost
000bfa1d2f1a41876493be685390d6d3,BR,339,1,9.060819469409243,2,1,1,Lost
000c8bdb58a29e7115cfc257230fb21b,BR,265,1,5.608618241469969,3,1,1,Needs Attention
000d460961d6dbfa3ec6c9f5805769e1,BR,239,1,7.09393507231443,3,1,1,Needs Attention
000de6019bb59f34c099a907c151d855,BR,382,1,49.78905793393203,2,1,5,Lost
000e309254ab1fc5ba99dd469d36bdb4,BR,70,1,15.166477327450862,5,1,2,New Customers
000ec5bff359e1c0ad76a81a45cb598f,BR,13,1,5.366867455199712,5,1,1,New Customers
000ed48ceeb6f4bf8ad021a10a3c7b43,BR,106,1,4.013063052086271,4,1,1,New Customers
000fbf0473c10fc1ab6f8d2d286ce20c,BR,39,1,70.08065193031234,5,1,5,New Customers
0010a452c6d13139e50b57f19f52e04e,BR,419,1,63.03506701525197,1,1,5,Lost
0010fb34b966d44409382af9e8fd5b77,BR,182,1,11.95215887320152,4,1,2,New Customers
001147e649a7b1afd577e873841632dd,BR,368,1,41.03187745207823,2,1,5,Lost
00115fc7123b5310cf6d3a3aa932699e,BR,590,1,14.719721874423426,1,1,2,Lost
0011805441c0d1b68b48002f1d005526,BR,497,1,57.467062905875395,1,1,5,Lost
0011857aff0e5871ce5eb429f21cdaf5,BR,432,1,37.29344329319497,1,1,4,Lost
0011c98589159d6149979563c504cb21,BR,394,1,22.809670186171314,1,1,3,Lost
0012929d977a8d7280bb277c1e5f589d,BR,321,1,30.102807906372437,2,1,4,Lost
0014a5a58da615f7b01a4f5e194bf5ea,BR,228,1,19.305250788397665,3,1,3,Needs Attention
0015752e079902b12cd00b9b7596276b,BR,32,1,14.470235062992518,5,1,2,New Customers
00172711b30d52eea8b313a7f2cced02,BR,38,1,23.608414784008243,5,1,3,New Customers
00191a9719ef48ebb5860b130347bf33,BR,502,1,11.383561023893876,1,1,2,Lost
001926cef41060fae572e2e7b30bd2a4,BR,382,1,17.640071372568134,2,1,3,Lost
001928b561575b2821c92254a2327d06,BR,10,1,31.874357668160883,5,1,4,New Customers
00196c4c9a3af7dd2ad10eade69c926f,BR,37,1,7.2679956384290145,5,1,1,New Customers
00196fdb2bf9edfc35e88ebfbcf8d781,BR,193,1,5.221816983437558,3,1,1,Needs Attention
0019da6aa6bcb27cc32f1249bd12da05,BR,205,1,16.963169171011415,3,1,3,Needs Attention
0019e8c501c85848ac0966d45226fa1d,BR,125,1,38.15214208602693,4,1,4,New Customers
001a2bf0e46c684031af91fb2bce149d,BR,431,1,7.103605103765239,1,1,1,Lost
001a34eb30ecb8e3aacb07c475ca4dd1,BR,54,1,31.274815718210647,5,1,4,New Customers
001a3a8e11d76c9a366c31a4aa2cc529,BR,106,1,4.686097241062667,4,1,1,New Customers
001ae44fa04911a9e9577356dce6c63c,BR,301,1,22.478955110553603,2,1,3,Lost
001ae5a1788703d64536c30362503e49,BR,269,1,26.12455696750908,3,1,4,Needs Attention
001deb796b28a3a128d6113857569aa4,BR,73,1,12.248061835596316,5,1,2,New Customers
001f3c4211216384d5fe59b041ce1461,BR,533,1,6.931478543940817,1,1,1,Lost
002043098f10ba39a4600b6c52fbfe3c,BR,526,1,45.99260358634391,1,1,5,Lost
002311514717ca8b65b09a26cdf7b91a,BR,68,1,24.043566199294705,5,1,3,New Customers
0023557a94bef0038066b5d1b3dc763e,BR,159,1,20.778963581501152,4,1,3,New Customers
002471155ecd08d208d1376720e2a907,BR,26,1,17.827669982713854,5,1,3,New Customers
00256bf7b05c08f6a5849df3d0a64f1f,BR,94,1,11.165018313105563,5,1,2,New Customers
0025795df7a7d077c4c90162fa820085,BR,41,1,41.40320665978935,5,1,5,New Customers
0027324a96d26a2bc7d69262f83c8403,BR,162,1,9.04728142537811,4,1,1,New Customers
0028a7d8db7b0247652509358ad8d755,BR,264,1,68.63208121898096,3,1,5,Needs Attention
0028cfeb9dfcd3628a56d5b6400deef5,BR,240,1,22.85995434971553,3,1,3,Needs Attention
00293787e2aec37a9c253b63fdfe2049,BR,311,1,49.87415421069916,2,1,5,Lost
0029bd580d3012618731f5abb174a07f,BR,305,1,10.13032494786886,2,1,1,Lost
002aba8c1af80acacef6e011f9f23262,BR,188,1,42.11105296198866,3,1,5,Needs Attention
002ae492472e45ad6ebeb7a625409392,BR,330,1,42.28898154068357,2,1,5,Lost
002b4cd83fabaffaa475f78ea5ef3e08,BR,579,1,12.45886852122398,1,1,2,Lost
002bdeb33da5b1b3ce8b9c822f749c82,BR,272,1,7.3666299592272795,3,1,1,Needs Attention
002cdf87d4c03f08f7eb4551a923affc,BR,307,1,44.22492183713579,2,1,5,Lost
002d3bd901608f67c3fc11eaaa842b13,BR,231,1,5.562202090506079,3,1,1,Needs Attention
002d71b244beb91ca7030b15ab526446,BR,469,1,25.250386124355835,1,1,3,Lost
002da6dde369f6a8b4c999ed61eb5a87,BR,144,1,10.130324947868862,4,1,1,New Customers
002eb8b96288f3804e21d2777ac29895,BR,408,1,26.687352797946243,1,1,4,Lost
002ed12115742033f015cb3c269ccf68,BR,216,1,21.233455059689238,3,1,3,Needs Attention
002ef00822613c94613e60e03b169fef,BR,201,1,22.055407733008114,3,1,3,Needs Attention
002feefec5af0a3b26ee7839c66d205e,BR,309,1,15.002086792787084,2,1,2,Lost
003035f5ec76f2220098377482de93c9,BR,371,1,12.081737294642378,2,1,2,Lost
003162bf0351f47a1a247992b8b9b42d,BR,51,1,103.77877753009605,5,1,5,New Customers
00324c9f4d710e7bac5c5ba679714430,BR,439,1,21.231521053399074,1,1,3,Lost
0032c76b20340da25249092a268ce66c,BR,697,1,28.031487169608873,1,1,4,Lost
0032ca69771a7758ce643258bb9e4ac7,BR,49,1,12.077869282062055,5,1,2,New Customers
0033f4a2887e07e25aa1204d482f41ba,BR,70,1,82.20300335704813,5,1,5,New Customers
00344274804f3b8003de1b0562ae01df,BR,56,1,43.75302430233624,5,1,5,New Customers
0034c76b7e6a17d738375b99afc2f01e,BR,119,1,8.554109821386785,4,1,1,New Customers
0035029989e6fc5cf030918a5f9f2037,BR,114,1,105.61995151833032,4,1,5,New Customers
003650b504826ea534e02eba0ab58dd5,BR,229,1,4.210331693682801,3,1,1,Needs Attention
0036a074f98b80c4f1fc33dbbcf9c552,BR,479,1,8.242734808670692,1,1,1,Lost
0036b4a3d09ad551a5188c2e374da402,BR,390,1,31.479820384967823,1,1,4,Lost
0036d365b138cc0ee06bed755bcb5044,BR,215,1,21.17736887727454,3,1,3,Needs Attention
00370dfde3d012c420d29657afc2fc8b,BR,217,1,45.835949076840784,3,1,5,Needs Attention
00377a18050b898b93e2c774be9947db,BR,282,1,12.721893376686019,2,1,2,Lost
0037aa56b017c105c3a9d47af71fff98,BR,220,1,85.81766111336101,3,1,5,Needs Attention
0037d2bbb9ebc39d9114aea27ee16d72,BR,525,1,27.797472408499267,1,1,4,Lost
0037eb1ff742ee2e71ba887f65f3c6f3,BR,418,1,44.24812991261773,1,1,5,Lost
003800162424b7b5b3d75c9cf22a66e7,BR,155,1,20.85052181423715,4,1,3,New Customers
00391594070baf8603f5fdc1d0c6a48c,BR,29,1,23.07656305421368,5,1,3,New Customers
003a5571a07dcf09bf117d13d2980ba3,BR,40,1,35.16410236772654,5,1,4,New Customers
003a7a8eb096ed3cbf713d2def1ca701,BR,20,1,30.452863044891764,5,1,4,New Customers
003ac9408252444b489b1bfc013f5f8c,BR,171,1,7.1519552610192925,4,1,1,New Customers
003ae409f37c3c30cb1c974af3a42692,BR,19,1,41.83642406878565,5,1,5,New Customers
003c2067070f5b3d923235b1ea1cc17b,BR,28,1,28.503384704408415,5,1,4,New Customers
003c457932a554e4df13834237b1ed00,BR,241,1,27.56152364109949,3,1,4,Needs Attention
003d56767e53e08671de00da3fba8d40,BR,276,1,34.539418336004196,2,1,4,Lost
003db7adfcdc49857b095a50191b6c9d,BR,124,1,104.95078534193425,4,1,5,New Customers
003e28cb6fab8a0901bff9229612375f,BR,539,1,26.54617033876441,1,1,4,Lost
003e2af81ea3c72fbdd093f07724a4de,BR,140,1,12.32735609349296,4,1,2,New Customers
003f4901fdb60ae9c1e2538b84c208e1,BR,288,1,31.483688397548146,2,1,4,Lost
003fb95e849e71e732629d94bb92762f,BR,35,1,15.005954805367411,5,1,2,New Customers
003fee4ca17927283128c7ddc6f9311b,BR,118,1,20.011163084306816,4,1,3,New Customers
004177f7bf62929186b32c7fdaa6157b,BR,319,1,83.932004980453,2,1,5,Lost
