region,month,value,is_forecast
BR,2016-09-01,4.0,False
BR,2016-10-01,324.0,False
BR,2016-11-01,0.0,False
BR,2016-12-01,1.0,False
BR,2017-01-01,800.0,False
BR,2017-02-01,1780.0,False
BR,2017-03-01,2682.0,False
BR,2017-04-01,2404.0,False
BR,2017-05-01,3700.0,False
BR,2017-06-01,3245.0,False
BR,2017-07-01,4026.0,False
BR,2017-08-01,4331.0,False
BR,2017-09-01,4285.0,False
BR,2017-10-01,4631.0,False
BR,2017-11-01,7544.0,False
BR,2017-12-01,5673.0,False
BR,2018-01-01,7269.0,False
BR,2018-02-01,6728.0,False
BR,2018-03-01,7211.0,False
BR,2018-04-01,6939.0,False
BR,2018-05-01,6873.0,False
BR,2018-06-01,6167.0,False
BR,2018-07-01,6292.0,False
BR,2018-08-01,6512.0,False
BR,2018-09-01,16.0,False
BR,2018-10-01,4.0,False
BR,2018-09-01,6387.074037445941,True
BR,2018-10-01,6297.9196580632415,True
BR,2018-11-01,6208.765278680542,True
DE,2023-01-01,61.0,False
DE,2023-02-01,60.0,False
DE,2023-03-01,51.0,False
DE,2023-04-01,56.0,False
DE,2023-05-01,69.0,False
DE,2023-06-01,52.0,False
DE,2023-07-01,55.0,False
DE,2023-08-01,55.0,False
DE,2023-09-01,45.0,False
DE,2023-10-01,51.0,False
DE,2023-11-01,59.0,False
DE,2023-12-01,50.0,False
DE,2024-01-01,51.0,False
DE,2024-02-01,55.0,False
DE,2024-03-01,55.0,False
DE,2024-04-01,58.0,False
DE,2024-05-01,59.0,False
DE,2024-06-01,54.0,False
DE,2024-07-01,39.0,False
DE,2024-08-01,55.0,False
DE,2024-09-01,43.0,False
DE,2024-10-01,54.0,False
DE,2024-11-01,59.0,False
DE,2024-12-01,68.0,False
DE,2025-01-01,60.0,False
DE,2025-02-01,59.0,False
DE,2025-03-01,58.0,False
DE,2025-04-01,58.0,False
DE,2025-05-01,59.0,False
DE,2025-06-01,56.0,False
DE,2025-07-01,54.0,False
DE,2025-08-01,65.0,False
DE,2025-09-01,46.0,False
DE,2025-10-01,64.0,False
DE,2025-11-01,58.0,False
DE,2025-12-01,66.0,False
DE,2026-01-01,58.12539679686613,True
DE,2026-02-01,58.23878160630073,True
DE,2026-03-01,58.35216641573534,True
GH,2023-01-01,59.0,False
GH,2023-02-01,57.0,False
GH,2023-03-01,52.0,False
GH,2023-04-01,66.0,False
GH,2023-05-01,66.0,False
GH,2023-06-01,88.0,False
GH,2023-07-01,53.0,False
GH,2023-08-01,58.0,False
GH,2023-09-01,54.0,False
GH,2023-10-01,54.0,False
GH,2023-11-01,56.0,False
